Date,HD,LOW
2020-01-02,192.3030548095703,109.06522369384766
2020-01-03,191.6639404296875,108.28654479980469
2020-01-06,192.565673828125,108.96560668945312
2020-01-07,191.30503845214844,108.31373596191406
2020-01-08,194.1677703857422,110.03398895263672
2020-01-09,197.1443328857422,110.50479125976562
2020-01-10,196.29515075683594,109.55414581298828
2020-01-13,195.52471923828125,109.5993881225586
2020-01-14,195.0607452392578,108.71209716796875
2020-01-15,196.61904907226562,108.21412658691406
2020-01-16,200.32225036621094,107.9877700805664
2020-01-17,203.02743530273438,110.7854995727539
2020-01-21,203.93788146972656,109.98512268066406
2020-01-22,203.8940887451172,110.87640380859375
2020-01-23,204.5507049560547,111.60401916503906
2020-01-24,203.106201171875,109.34848022460938
2020-01-27,202.39707946777344,108.92101287841797
2020-01-28,204.73455810546875,110.18521118164062
2020-01-29,204.87461853027344,109.52128601074219
2020-01-30,203.7977752685547,108.88462829589844
2020-01-31,199.69190979003906,105.71958923339844
2020-02-03,202.70350646972656,106.57453918457031
2020-02-04,205.7325897216797,108.5481185913086
2020-02-05,208.45526123046875,111.0765151977539
2020-02-06,209.09432983398438,110.51264190673828
2020-02-07,207.74612426757812,110.48535919189453
2020-02-10,210.64390563964844,110.23978424072266
2020-02-11,211.54562377929688,111.89506530761719
2020-02-12,211.50184631347656,113.71405029296875
2020-02-13,212.17593383789062,113.47757720947266
2020-02-14,214.513427734375,114.06873321533203
2020-02-18,213.55918884277344,112.07695007324219
2020-02-19,213.29649353027344,112.26795959472656
2020-02-20,216.25559997558594,115.11466217041016
2020-02-21,214.78480529785156,113.96870422363281
2020-02-24,209.84719848632812,111.78591918945312
2020-02-25,207.81617736816406,107.79324340820312
2020-02-26,205.97767639160156,103.0456771850586
2020-02-27,196.74160766601562,97.87975311279297
2020-02-28,190.70968627929688,96.92479705810547
2020-03-02,201.302734375,100.990234375
2020-03-03,199.55184936523438,98.73468017578125
2020-03-04,211.05535888671875,103.03659057617188
2020-03-05,205.5662384033203,97.78881072998047
2020-03-06,200.0508575439453,95.77882385253906
2020-03-09,184.2488555908203,85.6925277709961
2020-03-10,197.59085083007812,94.60558319091797
2020-03-11,187.62310791015625,90.17634582519531
2020-03-12,167.96981811523438,81.7817153930664
2020-03-13,181.26002502441406,87.75707244873047
2020-03-16,145.38172912597656,66.02017211914062
2020-03-17,153.0315399169922,67.11156463623047
2020-03-18,137.15904235839844,59.13530731201172
2020-03-19,142.00624084472656,63.546363830566406
2020-03-20,134.09205627441406,60.35403060913086
2020-03-23,143.11676025390625,61.66371154785156
2020-03-24,162.79644775390625,70.30390167236328
2020-03-25,160.1877899169922,76.14286041259766
2020-03-26,172.04148864746094,80.13551330566406
2020-03-27,167.9345703125,79.1078109741211
2020-03-30,172.8258819580078,80.68122100830078
2020-03-31,164.55032348632812,78.26197052001953
2020-04-01,157.42929077148438,73.14149475097656
2020-04-02,159.7912139892578,75.36067199707031
2020-04-03,157.49099731445312,74.7603988647461
2020-04-06,168.62200927734375,80.73577880859375
2020-04-07,169.468017578125,82.72758483886719
2020-04-08,171.69778442382812,85.81078338623047
2020-04-09,177.6113739013672,86.68389129638672
2020-04-13,175.19659423828125,86.5838623046875
2020-04-14,182.58201599121094,90.10359191894531
2020-04-15,174.9233856201172,85.80166625976562
2020-04-16,176.1308135986328,84.07363891601562
2020-04-17,184.56497192382812,88.31188201904297
2020-04-20,181.5949249267578,86.52017211914062
2020-04-21,176.80062866210938,84.72718048095703
2020-04-22,179.93804931640625,86.858642578125
2020-04-23,178.30764770507812,86.81291961669922
2020-04-24,186.99742126464844,90.33482360839844
2020-04-27,191.91513061523438,93.28042602539062
2020-04-28,191.80059814453125,94.69833374023438
2020-04-29,195.48443603515625,97.11337280273438
2020-04-30,193.73947143554688,95.82351684570312
2020-05-01,192.62901306152344,95.55821990966797
2020-05-04,195.51092529296875,98.20195770263672
2020-05-05,198.83346557617188,100.76334381103516
2020-05-06,197.34402465820312,100.27850341796875
2020-05-07,202.2177276611328,102.38250732421875
2020-05-08,206.60665893554688,104.49566650390625
2020-05-11,208.4838409423828,103.72724151611328
2020-05-12,205.25823974609375,101.7604751586914
2020-05-13,202.7905731201172,101.01948547363281
2020-05-14,206.65074157714844,100.9828872680664
2020-05-15,210.92510986328125,104.08401489257812
2020-05-18,216.23062133789062,106.7826156616211
2020-05-19,209.84112548828125,106.91069793701172
2020-05-20,209.92039489746094,107.02046966552734
2020-05-21,212.2911376953125,110.35942840576172
2020-05-22,213.1724853515625,111.83222198486328
2020-05-26,213.70123291015625,113.05802917480469
2020-05-27,218.00209045410156,117.10137176513672
2020-05-28,216.04554748535156,117.2020034790039
2020-05-29,218.9891357421875,119.24197387695312
2020-06-01,217.94039916992188,118.29973602294922
2020-06-02,222.7171173095703,120.7330551147461
2020-06-03,222.53089904785156,121.51979064941406
2020-06-04,220.71343994140625,117.71429443359375
2020-06-05,225.9885711669922,119.80912017822266
2020-06-08,227.6464385986328,119.66276550292969
2020-06-09,227.63760375976562,118.5284423828125
2020-06-10,225.58963012695312,119.01325988769531
2020-06-11,212.30870056152344,113.37821960449219
2020-06-12,214.95066833496094,115.30840301513672
2020-06-15,213.98431396484375,116.84523010253906
2020-06-16,221.6000213623047,120.5135269165039
2020-06-17,222.39794921875,124.09031677246094
2020-06-18,220.9439697265625,123.08404541015625
2020-06-19,218.67431640625,122.4254150390625
2020-06-22,220.8996124267578,123.23957061767578
2020-06-23,221.919189453125,122.8370590209961
2020-06-24,218.21328735351562,120.7330551147461
