Date,META,V
2020-01-02,209.77999877929688,191.1199951171875
2020-01-03,208.6699981689453,189.60000610351562
2020-01-06,212.60000610351562,189.19000244140625
2020-01-07,213.05999755859375,188.69000244140625
2020-01-08,215.22000122070312,191.9199981689453
2020-01-09,218.3000030517578,193.25
2020-01-10,218.05999755859375,193.77000427246094
2020-01-13,221.91000366210938,195.3300018310547
2020-01-14,219.05999755859375,196.0500030517578
2020-01-15,221.14999389648438,199.8000030517578
2020-01-16,221.77000427246094,200.9499969482422
2020-01-17,222.13999938964844,204.6999969482422
2020-01-21,221.44000244140625,207.2899932861328
2020-01-22,221.32000732421875,207.89999389648438
2020-01-23,219.75999450683594,206.52000427246094
2020-01-24,217.94000244140625,205.0
2020-01-27,214.8699951171875,201.69000244140625
2020-01-28,217.7899932861328,202.85000610351562
2020-01-29,223.22999572753906,204.86000061035156
2020-01-30,209.52999877929688,208.2100067138672
2020-01-31,201.91000366210938,198.97000122070312
2020-02-03,204.19000244140625,200.80999755859375
2020-02-04,209.8300018310547,203.55999755859375
2020-02-05,210.11000061035156,202.80999755859375
2020-02-06,210.85000610351562,203.0399932861328
2020-02-07,212.3300018310547,202.74000549316406
2020-02-10,213.05999755859375,205.99000549316406
2020-02-11,207.19000244140625,203.94000244140625
2020-02-12,210.75999450683594,207.44000244140625
2020-02-13,213.13999938964844,207.39999389648438
2020-02-14,214.17999267578125,210.2899932861328
2020-02-18,217.8000030517578,211.1999969482422
2020-02-19,217.49000549316406,213.30999755859375
2020-02-20,214.5800018310547,211.4499969482422
2020-02-21,210.17999267578125,208.80999755859375
2020-02-24,200.72000122070312,198.7899932861328
2020-02-25,196.77000427246094,188.39999389648438
2020-02-26,197.1999969482422,187.2100067138672
2020-02-27,189.75,180.00999450683594
2020-02-28,192.47000122070312,181.75999450683594
2020-03-02,196.44000244140625,192.3300018310547
2020-03-03,185.88999938964844,185.72999572753906
2020-03-04,191.75999450683594,194.2899932861328
2020-03-05,185.1699981689453,186.9600067138672
2020-03-06,181.08999633789062,184.36000061035156
2020-03-09,169.5,171.1300048828125
2020-03-10,178.19000244140625,182.60000610351562
2020-03-11,170.24000549316406,172.9499969482422
2020-03-12,154.47000122070312,160.0800018310547
2020-03-13,170.27999877929688,175.8300018310547
2020-03-16,146.00999450683594,152.00999450683594
2020-03-17,149.4199981689453,157.88999938964844
2020-03-18,146.9600067138672,148.47999572753906
2020-03-19,153.1300048828125,152.25
2020-03-20,149.72999572753906,146.8300018310547
