Date,BRK-B,MSFT
2020-01-02,228.38999938964844,160.6199951171875
2020-01-03,226.17999267578125,158.6199951171875
2020-01-06,226.99000549316406,159.02999877929688
2020-01-07,225.9199981689453,157.5800018310547
2020-01-08,225.99000549316406,160.08999633789062
2020-01-09,228.64999389648438,162.08999633789062
2020-01-10,226.6199951171875,161.33999633789062
2020-01-13,228.4499969482422,163.27999877929688
2020-01-14,227.1699981689453,162.1300048828125
2020-01-15,228.35000610351562,163.17999267578125
2020-01-16,229.72999572753906,166.1699981689453
2020-01-17,230.1999969482422,167.10000610351562
2020-01-21,228.6300048828125,166.5
2020-01-22,229.5399932861328,165.6999969482422
2020-01-23,229.3800048828125,166.72000122070312
2020-01-24,226.86000061035156,165.0399932861328
2020-01-27,222.4499969482422,162.27999877929688
2020-01-28,224.02999877929688,165.4600067138672
2020-01-29,224.5,168.0399932861328
2020-01-30,227.8800048828125,172.77999877929688
2020-01-31,224.42999267578125,170.22999572753906
2020-02-03,223.47000122070312,174.3800048828125
2020-02-04,225.0800018310547,180.1199951171875
2020-02-05,228.64999389648438,179.89999389648438
2020-02-06,229.61000061035156,183.6300048828125
2020-02-07,227.3800048828125,183.88999938964844
2020-02-10,227.11000061035156,188.6999969482422
2020-02-11,227.3300018310547,184.44000244140625
2020-02-12,227.44000244140625,184.7100067138672
2020-02-13,226.47000122070312,183.7100067138672
2020-02-14,226.8000030517578,185.35000610351562
2020-02-18,226.77000427246094,187.22999572753906
2020-02-19,229.24000549316406,187.27999877929688
2020-02-20,228.1699981689453,184.4199981689453
2020-02-21,229.3300018310547,178.58999633789062
2020-02-24,221.69000244140625,170.88999938964844
2020-02-25,218.0500030517578,168.07000732421875
2020-02-26,216.05999755859375,170.1699981689453
2020-02-27,207.6699981689453,158.17999267578125
2020-02-28,206.33999633789062,162.00999450683594
2020-03-02,217.6300048828125,172.7899932861328
2020-03-03,208.80999755859375,164.50999450683594
2020-03-04,217.86000061035156,170.5500030517578
2020-03-05,208.9600067138672,166.27000427246094
2020-03-06,205.97999572753906,161.57000732421875
2020-03-09,193.1300048828125,150.6199951171875
2020-03-10,202.72999572753906,160.9199981689453
2020-03-11,194.63999938964844,153.6300048828125
2020-03-12,175.97000122070312,139.05999755859375
2020-03-13,196.39999389648438,158.8300018310547
2020-03-16,177.77000427246094,135.4199981689453
2020-03-17,187.60000610351562,146.57000732421875
2020-03-18,172.44000244140625,140.39999389648438
2020-03-19,174.67999267578125,142.7100067138672
2020-03-20,170.05999755859375,137.35000610351562
2020-03-23,162.1300048828125,135.97999572753906
2020-03-24,178.1999969482422,148.33999633789062
2020-03-25,180.47000122070312,146.9199981689453
2020-03-26,183.89999389648438,156.11000061035156
2020-03-27,179.66000366210938,149.6999969482422
2020-03-30,183.17999267578125,160.22999572753906
2020-03-31,182.8300018310547,157.7100067138672
2020-04-01,175.9499969482422,152.11000061035156
2020-04-02,179.72999572753906,155.25999450683594
2020-04-03,178.33999633789062,153.8300018310547
2020-04-06,185.24000549316406,165.27000427246094
2020-04-07,185.25,163.49000549316406
2020-04-08,191.00999450683594,165.1300048828125
2020-04-09,193.83999633789062,165.13999938964844
2020-04-13,188.77000427246094,165.50999450683594
2020-04-14,192.94000244140625,173.6999969482422
2020-04-15,188.57000732421875,171.8800048828125
2020-04-16,187.9600067138672,177.0399932861328
2020-04-17,191.1999969482422,178.60000610351562
2020-04-20,188.75,175.05999755859375
2020-04-21,183.47999572753906,167.82000732421875
2020-04-22,186.5800018310547,173.52000427246094
2020-04-23,185.6300048828125,171.4199981689453
2020-04-24,186.52000427246094,174.5500030517578
2020-04-27,187.4600067138672,174.0500030517578
2020-04-28,187.1199951171875,169.80999755859375
2020-04-29,189.61000061035156,177.42999267578125
2020-04-30,187.36000061035156,179.2100067138672
2020-05-01,182.6699981689453,174.57000732421875
2020-05-04,177.9499969482422,178.83999633789062
2020-05-05,176.02999877929688,180.75999450683594
2020-05-06,172.3800048828125,182.5399932861328
2020-05-07,173.47999572753906,183.60000610351562
2020-05-08,176.8300018310547,184.67999267578125
2020-05-11,174.63999938964844,186.74000549316406
2020-05-12,172.80999755859375,182.50999450683594
2020-05-13,170.57000732421875,179.75
2020-05-14,170.92999267578125,180.52999877929688
2020-05-15,169.25,183.16000366210938
2020-05-18,175.4600067138672,184.91000366210938
2020-05-19,172.49000549316406,183.6300048828125
2020-05-20,176.02000427246094,185.66000366210938
2020-05-21,174.94000244140625,183.42999267578125
2020-05-22,174.92999267578125,183.50999450683594
2020-05-26,180.33999633789062,181.57000732421875
2020-05-27,185.77000427246094,181.80999755859375
2020-05-28,185.10000610351562,181.39999389648438
2020-05-29,185.5800018310547,183.25
2020-06-01,183.83999633789062,182.8300018310547
2020-06-02,185.94000244140625,184.91000366210938
2020-06-03,190.82000732421875,185.36000061035156
2020-06-04,192.0500030517578,182.9199981689453
2020-06-05,200.66000366210938,187.1999969482422
2020-06-08,201.55999755859375,188.36000061035156
2020-06-09,196.07000732421875,189.8000030517578
2020-06-10,191.50999450683594,196.83999633789062
2020-06-11,178.02000427246094,186.27000427246094
2020-06-12,181.2100067138672,187.74000549316406
2020-06-15,181.5500030517578,188.94000244140625
2020-06-16,182.3000030517578,193.57000732421875
2020-06-17,180.86000061035156,194.24000549316406
2020-06-18,180.72999572753906,196.32000732421875
2020-06-19,179.72000122070312,195.14999389648438
2020-06-22,180.1699981689453,200.57000732421875
2020-06-23,181.00999450683594,201.91000366210938
2020-06-24,177.52999877929688,197.83999633789062
2020-06-25,178.85000610351562,200.33999633789062
