Date,GOOG,JPM
2020-01-02,68.36849975585938,141.08999633789062
2020-01-03,68.03299713134766,138.33999633789062
2020-01-06,69.71050262451172,138.22999572753906
2020-01-07,69.66699981689453,135.8800048828125
2020-01-08,70.21600341796875,136.94000244140625
2020-01-09,70.99150085449219,137.44000244140625
2020-01-10,71.48650360107422,136.07000732421875
2020-01-13,71.96150207519531,137.1999969482422
2020-01-14,71.54399871826172,138.8000030517578
2020-01-15,71.95999908447266,136.72000122070312
2020-01-16,72.58499908447266,137.25
2020-01-17,74.01950073242188,138.1999969482422
2020-01-21,74.22000122070312,136.83999633789062
2020-01-22,74.29750061035156,136.67999267578125
2020-01-23,74.3324966430664,136.5399932861328
2020-01-24,73.33550262451172,133.14999389648438
2020-01-27,71.69499969482422,132.02999877929688
2020-01-28,72.62799835205078,134.42999267578125
2020-01-29,72.93150329589844,134.22999572753906
2020-01-30,72.79199981689453,135.88999938964844
2020-01-31,71.71150207519531,132.36000061035156
2020-02-03,74.2969970703125,133.3699951171875
2020-02-04,72.35350036621094,135.2899932861328
2020-02-05,72.4114990234375,137.58999633789062
2020-02-06,73.8115005493164,137.61000061035156
2020-02-07,73.96150207519531,137.1699981689453
2020-02-10,75.43399810791016,137.74000549316406
2020-02-11,75.43949890136719,138.0
2020-02-12,75.91349792480469,138.0
2020-02-13,75.73300170898438,137.8800048828125
2020-02-14,76.03700256347656,137.4600067138672
2020-02-18,75.9834976196289,135.63999938964844
2020-02-19,76.33450317382812,137.49000549316406
2020-02-20,75.90750122070312,137.49000549316406
2020-02-21,74.25550079345703,135.80999755859375
2020-02-24,71.07949829101562,132.16000366210938
2020-02-25,69.42250061035156,126.26000213623047
2020-02-26,69.65899658203125,126.63999938964844
2020-02-27,65.90450286865234,121.37000274658203
2020-02-28,66.96649932861328,116.11000061035156
2020-03-02,69.45549774169922,121.5199966430664
2020-03-03,67.06950378417969,116.95999908447266
2020-03-04,69.32599639892578,119.8499984741211
2020-03-05,65.9520034790039,113.97000122070312
2020-03-06,64.92050170898438,108.08000183105469
2020-03-09,60.77799987792969,93.44000244140625
2020-03-10,64.01950073242188,100.69999694824219
2020-03-11,60.77050018310547,95.95999908447266
2020-03-12,55.74549865722656,88.05000305175781
2020-03-13,60.98649978637695,103.91000366210938
2020-03-16,54.21649932861328,88.36000061035156
2020-03-17,55.9900016784668,93.76000213623047
2020-03-18,54.84000015258789,83.88999938964844
2020-03-19,55.76449966430664,85.30000305175781
2020-03-20,53.61600112915039,83.5
2020-03-23,52.83100128173828,79.02999877929688
2020-03-24,56.722999572753906,88.43000030517578
2020-03-25,55.1245002746582,91.7300033569336
2020-03-26,58.087501525878906,98.12000274658203
2020-03-27,55.535499572753906,91.12999725341797
2020-03-30,57.340999603271484,93.5
2020-03-31,58.140499114990234,90.02999877929688
2020-04-01,55.28099822998047,84.36000061035156
2020-04-02,56.04199981689453,87.51000213623047
2020-04-03,54.89400100708008,84.05000305175781
2020-04-06,59.34600067138672,89.45999908447266
2020-04-07,59.32550048828125,90.63999938964844
2020-04-08,60.513999938964844,94.30000305175781
2020-04-09,60.5724983215332,102.76000213623047
2020-04-13,60.87799835205078,98.19000244140625
2020-04-14,63.46149826049805,95.5
2020-04-15,63.12350082397461,90.79000091552734
2020-04-16,63.173500061035156,87.33000183105469
2020-04-17,64.1624984741211,95.18000030517578
2020-04-20,63.330501556396484,91.70999908447266
2020-04-21,60.81700134277344,89.05000305175781
2020-04-22,63.160499572753906,89.33999633789062
2020-04-23,63.81549835205078,89.38999938964844
2020-04-24,63.96549987792969,90.70999908447266
2020-04-27,63.79399871826172,94.62000274658203
2020-04-28,61.68349838256836,95.29000091552734
2020-04-29,67.0739974975586,97.86000061035156
2020-04-30,67.43299865722656,95.76000213623047
2020-05-01,66.03050231933594,93.25
2020-05-04,66.33999633789062,92.13999938964844
2020-05-05,67.55549621582031,92.0
2020-05-06,67.36499786376953,90.2699966430664
2020-05-07,68.62799835205078,91.20999908447266
2020-05-08,69.41850280761719,92.69999694824219
2020-05-11,70.16300201416016,89.97000122070312
2020-05-12,68.78700256347656,87.02999877929688
2020-05-13,67.46649932861328,84.02999877929688
2020-05-14,67.80650329589844,87.5199966430664
2020-05-15,68.65950012207031,85.9000015258789
2020-05-18,69.1969985961914,90.44999694824219
2020-05-19,68.67424774169922,88.66999816894531
2020-05-20,70.33599853515625,91.33000183105469
2020-05-21,70.13999938964844,90.16999816894531
2020-05-22,70.52100372314453,89.47000122070312
2020-05-26,70.85099792480469,95.81999969482422
2020-05-27,70.89199829101562,101.37000274658203
2020-05-28,70.83650207519531,99.86000061035156
2020-05-29,71.44599914550781,97.30999755859375
2020-06-01,71.59100341796875,98.5999984741211
2020-06-02,71.96099853515625,98.93000030517578
2020-06-03,71.81900024414062,104.2699966430664
2020-06-04,70.60900115966797,106.44000244140625
2020-06-05,71.91950225830078,111.2300033569336
2020-06-08,72.33049774169922,113.44999694824219
2020-06-09,72.80799865722656,110.54000091552734
2020-06-10,73.2925033569336,106.05999755859375
2020-06-11,70.19200134277344,97.20999908447266
2020-06-12,70.65899658203125,99.87000274658203
2020-06-15,70.99250030517578,101.25
2020-06-16,72.13600158691406,102.05999755859375
2020-06-17,72.55599975585938,99.4800033569336
2020-06-18,71.7979965209961,98.94000244140625
2020-06-19,71.58599853515625,97.80999755859375
2020-06-22,72.59300231933594,96.75
2020-06-23,73.22049713134766,97.93000030517578
2020-06-24,71.59850311279297,94.66000366210938
2020-06-25,72.06649780273438,97.95999908447266
