Date,AMZN,META
2020-01-02,94.90049743652344,209.77999877929688
2020-01-03,93.74849700927734,208.6699981689453
2020-01-06,95.14399719238281,212.60000610351562
2020-01-07,95.34300231933594,213.05999755859375
2020-01-08,94.59850311279297,215.22000122070312
2020-01-09,95.05249786376953,218.3000030517578
2020-01-10,94.15799713134766,218.05999755859375
2020-01-13,94.56500244140625,221.91000366210938
2020-01-14,93.47200012207031,219.05999755859375
2020-01-15,93.10099792480469,221.14999389648438
2020-01-16,93.89700317382812,221.77000427246094
2020-01-17,93.23600006103516,222.13999938964844
2020-01-21,94.5999984741211,221.44000244140625
2020-01-22,94.37300109863281,221.32000732421875
2020-01-23,94.22899627685547,219.75999450683594
2020-01-24,93.08200073242188,217.94000244140625
2020-01-27,91.41699981689453,214.8699951171875
2020-01-28,92.6624984741211,217.7899932861328
2020-01-29,92.9000015258789,223.22999572753906
2020-01-30,93.53399658203125,209.52999877929688
2020-01-31,100.43599700927734,201.91000366210938
2020-02-03,100.20999908447266,204.19000244140625
2020-02-04,102.4834976196289,209.8300018310547
2020-02-05,101.99349975585938,210.11000061035156
2020-02-06,102.5114974975586,210.85000610351562
2020-02-07,103.96399688720703,212.3300018310547
2020-02-10,106.69550323486328,213.05999755859375
2020-02-11,107.54000091552734,207.19000244140625
2020-02-12,108.0,210.75999450683594
2020-02-13,107.49349975585938,213.13999938964844
2020-02-14,106.74349975585938,214.17999267578125
2020-02-18,107.78350067138672,217.8000030517578
2020-02-19,108.51100158691406,217.49000549316406
2020-02-20,107.65499877929688,214.5800018310547
2020-02-21,104.79850006103516,210.17999267578125
2020-02-24,100.4645004272461,200.72000122070312
2020-02-25,98.63700103759766,196.77000427246094
2020-02-26,98.97949981689453,197.1999969482422
2020-02-27,94.21499633789062,189.75
2020-02-28,94.1875,192.47000122070312
2020-03-02,97.69750213623047,196.44000244140625
2020-03-03,95.44950103759766,185.88999938964844
2020-03-04,98.79149627685547,191.75999450683594
2020-03-05,96.20149993896484,185.1699981689453
2020-03-06,95.05449676513672,181.08999633789062
2020-03-09,90.03050231933594,169.5
2020-03-10,94.59100341796875,178.19000244140625
2020-03-11,91.04299926757812,170.24000549316406
2020-03-12,83.83049774169922,154.47000122070312
2020-03-13,89.25,170.27999877929688
2020-03-16,84.4574966430664,146.00999450683594
2020-03-17,90.39199829101562,149.4199981689453
2020-03-18,91.5,146.9600067138672
2020-03-19,94.04650115966797,153.1300048828125
2020-03-20,92.30449676513672,149.72999572753906
2020-03-23,95.1415023803711,148.10000610351562
2020-03-24,97.00499725341797,160.97999572753906
2020-03-25,94.29199981689453,156.2100067138672
2020-03-26,97.77449798583984,163.33999633789062
2020-03-27,95.00499725341797,156.7899932861328
2020-03-30,98.19750213623047,165.9499969482422
2020-03-31,97.48600006103516,166.8000030517578
2020-04-01,95.38500213623047,159.60000610351562
2020-04-02,95.94149780273438,158.19000244140625
2020-04-03,95.32949829101562,154.17999267578125
2020-04-06,99.87950134277344,165.5500030517578
2020-04-07,100.58000183105469,168.8300018310547
2020-04-08,102.1500015258789,174.27999877929688
2020-04-09,102.13800048828125,175.19000244140625
2020-04-13,108.44349670410156,174.7899932861328
2020-04-14,114.16600036621094,178.1699981689453
2020-04-15,115.38400268554688,176.97000122070312
2020-04-16,120.40950012207031,176.25
2020-04-17,118.75,179.24000549316406
2020-04-20,119.68049621582031,178.24000549316406
2020-04-21,116.40599822998047,170.8000030517578
2020-04-22,118.17449951171875,182.27999877929688
2020-04-23,119.97250366210938,185.1300048828125
2020-04-24,120.51100158691406,190.07000732421875
2020-04-27,118.80000305175781,187.5
2020-04-28,115.7040023803711,182.91000366210938
2020-04-29,118.635498046875,194.19000244140625
2020-04-30,123.69999694824219,204.7100067138672
2020-05-01,114.302001953125,202.27000427246094
2020-05-04,115.79949951171875,205.25999450683594
2020-05-05,115.88999938964844,207.07000732421875
2020-05-06,117.56300354003906,208.47000122070312
2020-05-07,118.38050079345703,211.25999450683594
2020-05-08,118.98049926757812,212.35000610351562
2020-05-11,120.44999694824219,213.17999267578125
2020-05-12,117.84750366210938,210.10000610351562
2020-05-13,118.39600372314453,205.10000610351562
2020-05-14,119.44249725341797,206.80999755859375
2020-05-15,120.48899841308594,210.8800048828125
2020-05-18,121.31300354003906,213.19000244140625
2020-05-19,122.46649932861328,216.8800048828125
2020-05-20,124.89700317382812,229.97000122070312
2020-05-21,122.33699798583984,231.38999938964844
2020-05-22,121.84400177001953,234.91000366210938
2020-05-26,121.09300231933594,232.1999969482422
2020-05-27,120.51950073242188,229.13999938964844
2020-05-28,120.05500030517578,225.4600067138672
2020-05-29,122.11849975585938,225.08999633789062
2020-06-01,123.552001953125,231.91000366210938
2020-06-02,123.62049865722656,232.72000122070312
2020-06-03,123.91999816894531,230.16000366210938
2020-06-04,123.02999877929688,226.2899932861328
2020-06-05,124.1500015258789,230.77000427246094
2020-06-08,126.2030029296875,231.39999389648438
2020-06-09,130.04299926757812,238.6699981689453
2020-06-10,132.37249755859375,236.72999572753906
2020-06-11,127.89800262451172,224.42999267578125
2020-06-12,127.2509994506836,228.5800018310547
2020-06-15,128.63400268554688,232.5
2020-06-16,130.7635040283203,235.64999389648438
2020-06-17,132.0489959716797,235.52999877929688
2020-06-18,132.69900512695312,235.94000244140625
2020-06-19,133.75050354003906,238.7899932861328
2020-06-22,135.6909942626953,239.22000122070312
2020-06-23,138.2205047607422,242.24000549316406
2020-06-24,136.72000122070312,234.02000427246094
2020-06-25,137.72900390625,235.67999267578125
2020-06-26,134.64349365234375,216.0800018310547
