Date,KO,PEP
2020-01-02,46.41970443725586,115.33772277832031
2020-01-03,46.16645812988281,115.17637634277344
2020-01-06,46.149574279785156,115.61795806884766
2020-01-07,45.79502487182617,113.80068969726562
2020-01-08,45.87944412231445,114.38662719726562
2020-01-09,46.71515655517578,114.46305084228516
2020-01-10,46.87553787231445,114.24225616455078
2020-01-13,47.38203430175781,115.94063568115234
2020-01-14,47.272300720214844,116.21240234375
2020-01-15,47.863197326660156,118.20800018310547
2020-01-16,47.96449661254883,118.55616760253906
2020-01-17,48.06578826904297,119.95735931396484
2020-01-21,48.25993728637695,120.46686553955078
2020-01-22,48.63137435913086,121.75763702392578
2020-01-23,48.81708908081055,121.9869384765625
2020-01-24,48.690460205078125,121.36701202392578
2020-01-27,48.52162170410156,120.70465087890625
2020-01-28,48.124874114990234,120.95941925048828
2020-01-29,48.124874114990234,120.35646057128906
2020-01-30,49.686561584472656,122.13976287841797
2020-01-31,49.29824447631836,120.60274505615234
2020-02-03,49.45020294189453,121.01884460449219
2020-02-04,49.66967010498047,121.62178802490234
2020-02-05,49.67810821533203,122.5389175415039
2020-02-06,49.79630661010742,122.56438446044922
2020-02-07,49.965110778808594,123.4475326538086
2020-02-10,50.43783950805664,123.69378662109375
2020-02-11,50.30278015136719,124.05047607421875
2020-02-12,50.15083312988281,124.05047607421875
2020-02-13,50.319664001464844,124.38162231445312
2020-02-14,50.6066780090332,124.8232421875
2020-02-18,50.25212478637695,123.64286804199219
2020-02-19,50.45471954345703,123.58341979980469
2020-02-20,50.41251754760742,123.26924133300781
2020-02-21,50.75862503051758,123.85516357421875
2020-02-24,49.50928497314453,121.12926483154297
2020-02-25,48.80863571166992,119.82150268554688
2020-02-26,48.62293243408203,120.56876373291016
2020-02-27,46.369056701660156,115.80480194091797
2020-02-28,45.153480529785156,112.11924743652344
2020-03-02,47.20475769042969,116.83232879638672
2020-03-03,47.32294464111328,115.1339111328125
2020-03-04,49.73720169067383,120.91696166992188
2020-03-05,47.8969612121582,118.06576538085938
2020-03-06,46.647621154785156,117.34760284423828
2020-03-09,43.77751541137695,111.27760314941406
2020-03-10,45.29698181152344,114.68024444580078
2020-03-11,44.07297134399414,110.92708587646484
2020-03-12,39.81001663208008,98.6075668334961
2020-03-13,41.274688720703125,108.96075439453125
2020-03-16,38.54121017456055,96.68397521972656
2020-03-17,40.176185607910156,109.19158172607422
2020-03-18,38.19207000732422,103.37806701660156
2020-03-19,35.620399475097656,100.31742095947266
2020-03-20,32.61440658569336,88.8528060913086
2020-03-23,31.98426628112793,89.92147827148438
2020-03-24,33.59369659423828,97.32516479492188
2020-03-25,35.433048248291016,96.17957305908203
2020-03-26,37.715206146240234,102.81381225585938
2020-03-27,36.45491027832031,102.98480224609375
2020-03-30,38.31980514526367,107.27651977539062
2020-03-31,37.68113708496094,102.6770248413086
2020-04-01,35.86733627319336,100.98426055908203
2020-04-02,37.42567443847656,105.89156341552734
2020-04-03,37.3234977722168,106.5156478881836
2020-04-06,39.74188995361328,112.13253784179688
2020-04-07,39.605648040771484,111.55119323730469
2020-04-08,40.72118377685547,113.3721923828125
2020-04-09,41.726009368896484,114.24423217773438
2020-04-13,39.96330261230469,111.9017105102539
2020-04-14,41.65788269042969,118.32222747802734
2020-04-15,40.5423583984375,115.44110870361328
2020-04-16,40.10806655883789,115.96261596679688
2020-04-17,40.92554473876953,117.59554290771484
2020-04-20,39.622676849365234,115.0307388305664
2020-04-21,38.64339065551758,111.9444580078125
2020-04-22,38.89887237548828,113.3807144165039
2020-04-23,38.37941360473633,111.36310577392578
2020-04-24,38.68597412109375,114.86832427978516
2020-04-27,39.8355712890625,114.95380401611328
2020-04-28,39.801513671875,116.5439682006836
2020-04-29,40.125091552734375,114.01338958740234
2020-04-30,39.07768249511719,113.09861755371094
2020-05-01,38.83073425292969,111.2605209350586
2020-05-04,38.43902587890625,111.9273681640625
2020-05-05,38.66042709350586,112.56857299804688
2020-05-06,38.10691452026367,111.80767822265625
2020-05-07,37.979183197021484,112.46597290039062
2020-05-08,39.26502990722656,114.75717163085938
2020-05-11,38.77964401245117,114.88543701171875
2020-05-12,38.1665153503418,113.65431213378906
2020-05-13,37.41716003417969,113.67141723632812
2020-05-14,37.21280288696289,113.77398681640625
2020-05-15,36.83810806274414,116.2276840209961
2020-05-18,38.29426193237305,115.86004638671875
2020-05-19,37.92808532714844,112.61982727050781
2020-05-20,39.07768249511719,112.21803283691406
2020-05-21,38.464569091796875,111.32038116455078
2020-05-22,38.34535217285156,111.55119323730469
2020-05-26,39.24799728393555,110.92708587646484
2020-05-27,39.79299545288086,111.83329772949219
2020-05-28,40.099552154541016,113.09861755371094
2020-05-29,39.75041198730469,112.46597290039062
2020-06-01,40.0143928527832,113.69708251953125
2020-06-02,39.93775177001953,113.3893051147461
2020-06-03,40.789310455322266,113.5517578125
2020-06-04,40.806331634521484,112.49459075927734
2020-06-05,41.80265808105469,114.10572052001953
2020-06-08,42.449832916259766,113.90757751464844
2020-06-09,41.726009368896484,114.56233978271484
2020-06-10,41.40242385864258,115.5617446899414
2020-06-11,38.77964401245117,110.14252471923828
2020-06-12,39.18351364135742,111.14193725585938
2020-06-15,39.785011291503906,112.41703796386719
2020-06-16,40.18888473510742,113.44229888916016
2020-06-17,40.02561569213867,113.51984405517578
2020-06-18,40.37791442871094,114.39864349365234
2020-06-19,39.54440689086914,113.10629272460938
2020-06-22,39.3038215637207,112.90812683105469
2020-06-23,39.21788024902344,113.17523193359375
2020-06-24,38.36719512939453,111.6244125366211
