Date,JPM,V
2020-01-02,141.08999633789062,191.1199951171875
2020-01-03,138.33999633789062,189.60000610351562
2020-01-06,138.22999572753906,189.19000244140625
2020-01-07,135.8800048828125,188.69000244140625
2020-01-08,136.94000244140625,191.9199981689453
2020-01-09,137.44000244140625,193.25
2020-01-10,136.07000732421875,193.77000427246094
2020-01-13,137.1999969482422,195.3300018310547
2020-01-14,138.8000030517578,196.0500030517578
2020-01-15,136.72000122070312,199.8000030517578
2020-01-16,137.25,200.9499969482422
2020-01-17,138.1999969482422,204.6999969482422
2020-01-21,136.83999633789062,207.2899932861328
2020-01-22,136.67999267578125,207.89999389648438
2020-01-23,136.5399932861328,206.52000427246094
2020-01-24,133.14999389648438,205.0
2020-01-27,132.02999877929688,201.69000244140625
2020-01-28,134.42999267578125,202.85000610351562
2020-01-29,134.22999572753906,204.86000061035156
2020-01-30,135.88999938964844,208.2100067138672
2020-01-31,132.36000061035156,198.97000122070312
2020-02-03,133.3699951171875,200.80999755859375
2020-02-04,135.2899932861328,203.55999755859375
2020-02-05,137.58999633789062,202.80999755859375
2020-02-06,137.61000061035156,203.0399932861328
2020-02-07,137.1699981689453,202.74000549316406
2020-02-10,137.74000549316406,205.99000549316406
2020-02-11,138.0,203.94000244140625
2020-02-12,138.0,207.44000244140625
2020-02-13,137.8800048828125,207.39999389648438
2020-02-14,137.4600067138672,210.2899932861328
2020-02-18,135.63999938964844,211.1999969482422
2020-02-19,137.49000549316406,213.30999755859375
2020-02-20,137.49000549316406,211.4499969482422
2020-02-21,135.80999755859375,208.80999755859375
2020-02-24,132.16000366210938,198.7899932861328
2020-02-25,126.26000213623047,188.39999389648438
2020-02-26,126.63999938964844,187.2100067138672
2020-02-27,121.37000274658203,180.00999450683594
2020-02-28,116.11000061035156,181.75999450683594
2020-03-02,121.5199966430664,192.3300018310547
2020-03-03,116.95999908447266,185.72999572753906
2020-03-04,119.8499984741211,194.2899932861328
2020-03-05,113.97000122070312,186.9600067138672
2020-03-06,108.08000183105469,184.36000061035156
2020-03-09,93.44000244140625,171.1300048828125
2020-03-10,100.69999694824219,182.60000610351562
2020-03-11,95.95999908447266,172.9499969482422
2020-03-12,88.05000305175781,160.0800018310547
2020-03-13,103.91000366210938,175.8300018310547
2020-03-16,88.36000061035156,152.00999450683594
2020-03-17,93.76000213623047,157.88999938964844
2020-03-18,83.88999938964844,148.47999572753906
2020-03-19,85.30000305175781,152.25
2020-03-20,83.5,146.8300018310547
2020-03-23,79.02999877929688,135.74000549316406
2020-03-24,88.43000030517578,154.52999877929688
2020-03-25,91.7300033569336,161.77999877929688
2020-03-26,98.12000274658203,168.8800048828125
2020-03-27,91.12999725341797,161.55999755859375
2020-03-30,93.5,165.57000732421875
2020-03-31,90.02999877929688,161.1199951171875
2020-04-01,84.36000061035156,153.11000061035156
2020-04-02,87.51000213623047,157.38999938964844
2020-04-03,84.05000305175781,151.85000610351562
2020-04-06,89.45999908447266,169.44000244140625
2020-04-07,90.63999938964844,168.58999633789062
2020-04-08,94.30000305175781,174.94000244140625
2020-04-09,102.76000213623047,173.69000244140625
2020-04-13,98.19000244140625,168.99000549316406
2020-04-14,95.5,174.6199951171875
2020-04-15,90.79000091552734,165.9600067138672
2020-04-16,87.33000183105469,162.4199981689453
2020-04-17,95.18000030517578,169.5399932861328
2020-04-20,91.70999908447266,164.22000122070312
2020-04-21,89.05000305175781,160.52999877929688
2020-04-22,89.33999633789062,166.58999633789062
2020-04-23,89.38999938964844,166.3800048828125
2020-04-24,90.70999908447266,167.32000732421875
2020-04-27,94.62000274658203,171.75999450683594
2020-04-28,95.29000091552734,171.25
2020-04-29,97.86000061035156,181.7899932861328
2020-04-30,95.76000213623047,178.72000122070312
2020-05-01,93.25,175.57000732421875
2020-05-04,92.13999938964844,176.14999389648438
2020-05-05,92.0,178.44000244140625
2020-05-06,90.2699966430664,178.77999877929688
2020-05-07,91.20999908447266,182.72000122070312
2020-05-08,92.69999694824219,185.08999633789062
2020-05-11,89.97000122070312,183.55999755859375
2020-05-12,87.02999877929688,179.47000122070312
2020-05-13,84.02999877929688,177.08999633789062
2020-05-14,87.5199966430664,180.89999389648438
2020-05-15,85.9000015258789,183.49000549316406
2020-05-18,90.44999694824219,191.3800048828125
2020-05-19,88.66999816894531,189.36000061035156
2020-05-20,91.33000183105469,193.86000061035156
2020-05-21,90.16999816894531,190.6199951171875
2020-05-22,89.47000122070312,190.86000061035156
2020-05-26,95.81999969482422,193.22000122070312
2020-05-27,101.37000274658203,192.82000732421875
2020-05-28,99.86000061035156,194.25999450683594
2020-05-29,97.30999755859375,195.24000549316406
2020-06-01,98.5999984741211,194.35000610351562
2020-06-02,98.93000030517578,196.36000061035156
2020-06-03,104.2699966430664,196.8699951171875
2020-06-04,106.44000244140625,193.63999938964844
2020-06-05,111.2300033569336,199.61000061035156
2020-06-08,113.44999694824219,199.60000610351562
2020-06-09,110.54000091552734,199.0800018310547
2020-06-10,106.05999755859375,200.47999572753906
2020-06-11,97.20999908447266,188.8800048828125
2020-06-12,99.87000274658203,192.25999450683594
2020-06-15,101.25,191.75999450683594
2020-06-16,102.05999755859375,192.8800048828125
2020-06-17,99.4800033569336,193.55999755859375
2020-06-18,98.94000244140625,193.91000366210938
2020-06-19,97.80999755859375,192.1999969482422
2020-06-22,96.75,194.9600067138672
2020-06-23,97.93000030517578,197.97000122070312
2020-06-24,94.66000366210938,191.41000366210938
2020-06-25,97.95999908447266,193.97999572753906
2020-06-26,92.58999633789062,189.27000427246094
