Date,AAPL,BRK-B
2020-01-02,75.0875015258789,228.38999938964844
2020-01-03,74.35749816894531,226.17999267578125
2020-01-06,74.94999694824219,226.99000549316406
2020-01-07,74.59750366210938,225.9199981689453
2020-01-08,75.79750061035156,225.99000549316406
2020-01-09,77.40750122070312,228.64999389648438
2020-01-10,77.5824966430664,226.6199951171875
2020-01-13,79.23999786376953,228.4499969482422
2020-01-14,78.16999816894531,227.1699981689453
2020-01-15,77.83499908447266,228.35000610351562
2020-01-16,78.80999755859375,229.72999572753906
2020-01-17,79.68250274658203,230.1999969482422
2020-01-21,79.14250183105469,228.6300048828125
2020-01-22,79.42500305175781,229.5399932861328
2020-01-23,79.80750274658203,229.3800048828125
2020-01-24,79.57749938964844,226.86000061035156
2020-01-27,77.23750305175781,222.4499969482422
2020-01-28,79.42250061035156,224.02999877929688
2020-01-29,81.08499908447266,224.5
2020-01-30,80.96749877929688,227.8800048828125
2020-01-31,77.37750244140625,224.42999267578125
2020-02-03,77.16500091552734,223.47000122070312
2020-02-04,79.7125015258789,225.0800018310547
2020-02-05,80.36250305175781,228.64999389648438
2020-02-06,81.30249786376953,229.61000061035156
2020-02-07,80.00749969482422,227.3800048828125
2020-02-10,80.38749694824219,227.11000061035156
2020-02-11,79.90249633789062,227.3300018310547
2020-02-12,81.80000305175781,227.44000244140625
2020-02-13,81.21749877929688,226.47000122070312
2020-02-14,81.23750305175781,226.8000030517578
2020-02-18,79.75,226.77000427246094
2020-02-19,80.90499877929688,229.24000549316406
2020-02-20,80.07499694824219,228.1699981689453
2020-02-21,78.26249694824219,229.3300018310547
2020-02-24,74.54499816894531,221.69000244140625
2020-02-25,72.0199966430664,218.0500030517578
2020-02-26,73.1624984741211,216.05999755859375
2020-02-27,68.37999725341797,207.6699981689453
2020-02-28,68.33999633789062,206.33999633789062
2020-03-02,74.70249938964844,217.6300048828125
2020-03-03,72.33000183105469,208.80999755859375
2020-03-04,75.68499755859375,217.86000061035156
2020-03-05,73.2300033569336,208.9600067138672
2020-03-06,72.25749969482422,205.97999572753906
2020-03-09,66.5425033569336,193.1300048828125
2020-03-10,71.33499908447266,202.72999572753906
2020-03-11,68.85749816894531,194.63999938964844
2020-03-12,62.057498931884766,175.97000122070312
2020-03-13,69.49250030517578,196.39999389648438
2020-03-16,60.5525016784668,177.77000427246094
2020-03-17,63.21500015258789,187.60000610351562
2020-03-18,61.66749954223633,172.44000244140625
2020-03-19,61.19499969482422,174.67999267578125
2020-03-20,57.310001373291016,170.05999755859375
2020-03-23,56.092498779296875,162.1300048828125
2020-03-24,61.720001220703125,178.1999969482422
2020-03-25,61.380001068115234,180.47000122070312
2020-03-26,64.61000061035156,183.89999389648438
2020-03-27,61.935001373291016,179.66000366210938
2020-03-30,63.70249938964844,183.17999267578125
2020-03-31,63.5724983215332,182.8300018310547
2020-04-01,60.227500915527344,175.9499969482422
2020-04-02,61.23249816894531,179.72999572753906
2020-04-03,60.352500915527344,178.33999633789062
2020-04-06,65.61750030517578,185.24000549316406
2020-04-07,64.85749816894531,185.25
2020-04-08,66.51750183105469,191.00999450683594
2020-04-09,66.99749755859375,193.83999633789062
2020-04-13,68.3125,188.77000427246094
2020-04-14,71.76249694824219,192.94000244140625
2020-04-15,71.10749816894531,188.57000732421875
2020-04-16,71.67250061035156,187.9600067138672
2020-04-17,70.69999694824219,191.1999969482422
2020-04-20,69.23249816894531,188.75
2020-04-21,67.09249877929688,183.47999572753906
2020-04-22,69.0250015258789,186.5800018310547
2020-04-23,68.75749969482422,185.6300048828125
2020-04-24,70.74250030517578,186.52000427246094
2020-04-27,70.7925033569336,187.4600067138672
2020-04-28,69.6449966430664,187.1199951171875
2020-04-29,71.93250274658203,189.61000061035156
2020-04-30,73.44999694824219,187.36000061035156
2020-05-01,72.26750183105469,182.6699981689453
2020-05-04,73.29000091552734,177.9499969482422
2020-05-05,74.38999938964844,176.02999877929688
2020-05-06,75.15750122070312,172.3800048828125
2020-05-07,75.93499755859375,173.47999572753906
2020-05-08,77.53250122070312,176.8300018310547
2020-05-11,78.75250244140625,174.63999938964844
2020-05-12,77.85250091552734,172.80999755859375
2020-05-13,76.9124984741211,170.57000732421875
2020-05-14,77.38500213623047,170.92999267578125
2020-05-15,76.92749786376953,169.25
2020-05-18,78.73999786376953,175.4600067138672
2020-05-19,78.28500366210938,172.49000549316406
2020-05-20,79.80750274658203,176.02000427246094
2020-05-21,79.2125015258789,174.94000244140625
2020-05-22,79.72250366210938,174.92999267578125
2020-05-26,79.18250274658203,180.33999633789062
2020-05-27,79.52749633789062,185.77000427246094
2020-05-28,79.5625,185.10000610351562
2020-05-29,79.48500061035156,185.5800018310547
2020-06-01,80.4625015258789,183.83999633789062
2020-06-02,80.83499908447266,185.94000244140625
2020-06-03,81.27999877929688,190.82000732421875
2020-06-04,80.58000183105469,192.0500030517578
2020-06-05,82.875,200.66000366210938
2020-06-08,83.36499786376953,201.55999755859375
2020-06-09,85.99749755859375,196.07000732421875
2020-06-10,88.20999908447266,191.50999450683594
2020-06-11,83.9749984741211,178.02000427246094
2020-06-12,84.69999694824219,181.2100067138672
2020-06-15,85.74749755859375,181.5500030517578
2020-06-16,88.0199966430664,182.3000030517578
2020-06-17,87.89749908447266,180.86000061035156
2020-06-18,87.93250274658203,180.72999572753906
2020-06-19,87.43000030517578,179.72000122070312
2020-06-22,89.71749877929688,180.1699981689453
2020-06-23,91.63249969482422,181.00999450683594
2020-06-24,90.01499938964844,177.52999877929688
2020-06-25,91.20999908447266,178.85000610351562
